animal.tag;substance;random;noisywinstay;dual;fictitious;hybrid;forgetful;Qd;Qd+fictitious;Qd+hybrid;bd;bd+fictitious
900110000340505;alcohol;-3.06091900000001;-1.73952299999996;1.27970000000005;0.0904559999999037;-4.26452500000005;-0.698523000000023;2.93908099999999;2.71113500000001;-37.0549619999999;1.82920899999999;2.06649300000004
900110000340506;alcohol+saccharin;47.412476;36.7527100000002;-14.4443070000002;-9.74935000000005;-45.3656059999998;-7.30070500000011;-30.8396250000001;-7.74934299999995;-44.5642910000001;2.00000099999988;-7.74934900000017
900110000340507;alcohol;30.2604589999999;28.3861459999998;22.4077749999999;14.1156019999999;4.12095099999988;2.25905699999998;6.11079599999994;19.066793;-40.673548;1.19328999999993;15.5823889999999
900110000340508;alcohol;-0.218388999999888;1.72563100000002;1.99727400000006;-0.594333000000006;-3.38843399999996;1.50226100000009;5.78161100000011;1.19279400000005;-27.4893749999999;2.00000399999999;1.405665
900110000340509;alcohol+saccharin;60.30917;56.5478800000001;1.98169600000006;0.870073000000048;1.51514100000009;2.00403299999994;-4.36098900000002;21.9464460000002;-3.28610400000002;2.00001599999996;2.87017800000012
900110000340510;alcohol+saccharin;38.4778420000002;16.1462800000004;-0.141692999999577;0.0433910000001561;-21.6794769999997;1.02701000000025;-21.5958329999999;1.32352200000014;-24.0810359999996;-1.04085099999975;1.84017300000005
900110000351931;water;0.556214999999838;1.41811799999982;-2.90026400000011;0.931445999999823;-0.0172890000001189;1.26712199999997;-9.58720000000017;-3.51827600000001;-7.57384100000013;1.18820499999993;-4.41310200000021
900110000351934;water;-2.70824909999999;-3.2969147;1.8740196;-0.186205200000018;1.81259079999995;-1.11306149999996;3.29175090000001;3.29175090000001;1.2268444;3.29175090000001;3.29175090000001
900110000351935;water;-2.10816999999997;-0.796088000000054;-0.462709999999788;-1.05620199999976;-4.50816699999996;-4.6354409999999;3.37498000000005;3.16338399999995;-12.999718;2.00004600000011;0.942997999999989
900110000351936;water;-1.52781800000002;-1.46434299999987;3.38384300000007;0.892630000000054;0.99703599999998;-0.106461999999965;4.47218199999998;4.47218199999998;5.02773000000002;1.60471600000005;2.51772200000005
900110000351937;water;15.2930630000001;16.4056850000002;14.1261120000001;12.9910240000002;1.99739900000009;14.7037350000001;-26.355699;14.991031;-24.642916;2.65977199999998;14.304484
900110000351938;water;10.3096785;4.39208440000004;-17.4766055;6.34783930000003;-10.6302923;1.938265;-5.13782889999993;5.93272130000003;-9.80022780000002;-4.16281979999997;7.27702690000001
900110000351939;water;30.2805530000001;32.2805530000001;14.8797369999997;33.7933379999999;0.770982000000004;36.0298269999998;22.6825529999996;35.994083;24.6211089999997;2.55725799999982;35.9941289999997
900110000351940;water;8.00627299999996;4.89575500000001;-0.514531999999917;2.54950099999996;2.13175500000011;1.99999900000012;-21.9495429999999;4.46955600000001;-20.0537469999999;1.52117599999997;4.51881400000002
900110000351961;water;-3.52556800000002;-2.10086499999989;1.10322799999994;-0.526251999999886;0.185132000000067;-2.52324199999998;2.47443199999998;2.47443199999998;-9.86495100000002;2.47443199999998;2.47443199999998
900110000351962;water;6.71232299999997;7.52422799999999;2.29656299999988;0.594590999999809;1.96048599999995;6.48849199999995;12.6373349999999;10.9574709999999;5.80499499999996;2.00000299999988;2.58346699999993
900110000351963;water;16.3444299999999;18.143327;10.964911;17.1626209999999;2.06698400000005;15.7954099999999;22.2981259999999;18.6794259999999;6.70036000000005;-10.8545590000001;12.9719679999998
900110000351964;water;-1.2282110000001;0.704715999999962;1.3366309999999;-0.231189000000086;-2.83561499999996;1.71614499999987;4.74131999999986;1.47744599999987;-11.687406;-2.83415300000001;-3.80393500000014
900110000351965;water;5.93159799999989;6.00659999999993;0.58762999999999;0.994713000000047;-6.89413500000001;4.63960199999997;-6.45949199999995;9.6060030000001;2.77937900000006;1.97589700000003;2.99510400000008
900110000351966;water;4.18510100000003;5.01288699999986;1.78306599999996;0.106796999999915;2.01308199999994;5.28422499999988;2.29854699999987;5.52045899999985;2.49659699999984;2.00129399999992;2.106855
